period,entity,beginning_arr,new,expansion,contraction,churn,ending_arr,source
2025-01,northstar,8640000.00,432000.00,172800.00,69120.00,103680.00,9072000.00,sample
2025-02,northstar,9072000.00,453600.00,181440.00,72576.00,108864.00,9525600.00,sample
2025-03,northstar,9525600.00,476280.00,190512.00,76204.80,114307.20,10001880.00,sample
2025-04,northstar,10001880.00,500094.00,200037.60,80015.04,120022.56,10501974.00,sample
2025-05,northstar,10501974.00,525098.70,210039.48,84015.79,126023.69,11027072.70,sample
2025-06,northstar,11027072.70,551353.64,220541.45,88216.58,132324.87,11578426.34,sample
2025-07,northstar,11578426.34,578921.32,231568.53,92627.41,138941.12,12157347.65,sample
2025-08,northstar,12157347.65,607867.38,243146.95,97258.78,145888.17,12765215.03,sample
2025-09,northstar,12765215.03,638260.75,255304.30,102121.72,153182.58,13403475.79,sample
2025-10,northstar,13403475.79,670173.79,268069.52,107227.81,160841.71,14073649.58,sample
2025-11,northstar,14073649.58,703682.48,281472.99,112589.20,168883.79,14777332.05,sample
2025-12,northstar,14777332.05,738866.60,295546.64,118218.66,177327.98,15516198.66,sample
