period,entity,cash_in,cash_out,ending_balance,scenario,source
2025-01,northstar,695520.00,841620.00,8253900.00,actual,sample
2025-01,northstar,709430.40,816371.40,8584056.00,budget,sample
2025-02,northstar,730296.00,867051.00,8117145.00,actual,sample
2025-02,northstar,744901.92,841039.47,8441830.80,budget,sample
2025-03,northstar,766810.80,893228.55,7990727.25,actual,sample
2025-03,northstar,782147.02,866431.69,8310356.34,budget,sample
2025-04,northstar,805151.34,920189.98,7875688.61,actual,sample
2025-04,northstar,821254.37,892584.28,8190716.16,budget,sample
2025-05,northstar,845408.91,947974.48,7773123.04,actual,sample
2025-05,northstar,862317.09,919535.24,8084047.96,budget,sample
2025-06,northstar,887679.35,976623.20,7684179.20,actual,sample
2025-06,northstar,905432.94,947324.50,7991546.36,budget,sample
2025-07,northstar,932063.32,1006179.36,7610063.16,actual,sample
2025-07,northstar,950704.59,975993.98,7914465.68,budget,sample
2025-08,northstar,978666.49,1036688.33,7552041.31,actual,sample
2025-08,northstar,998239.82,1005587.68,7854122.97,budget,sample
2025-09,northstar,1027599.81,1068197.74,7511443.38,actual,sample
2025-09,northstar,1048151.81,1036151.81,7811901.11,budget,sample
2025-10,northstar,1078979.80,1100757.63,7489665.55,actual,sample
2025-10,northstar,1100559.40,1067734.90,7789252.17,budget,sample
2025-11,northstar,1132928.79,1134420.51,7488173.82,actual,sample
2025-11,northstar,1155587.37,1100387.90,7787700.78,budget,sample
2025-12,northstar,1189575.23,1169241.54,7508507.52,actual,sample
2025-12,northstar,1213366.73,1134164.29,7808847.82,budget,sample
