period,entity,function,fte,scenario,source
2025-01,northstar,cogs,12.0,actual,sample
2025-01,northstar,sm,18.0,actual,sample
2025-01,northstar,rd,28.0,actual,sample
2025-01,northstar,ga,8.0,actual,sample
2025-01,northstar,cogs,12.0,budget,sample
2025-01,northstar,sm,17.0,budget,sample
2025-01,northstar,rd,27.0,budget,sample
2025-01,northstar,ga,8.0,budget,sample
2025-02,northstar,cogs,12.2,actual,sample
2025-02,northstar,sm,18.4,actual,sample
2025-02,northstar,rd,28.5,actual,sample
2025-02,northstar,ga,8.1,actual,sample
2025-02,northstar,cogs,12.2,budget,sample
2025-02,northstar,sm,17.3,budget,sample
2025-02,northstar,rd,27.4,budget,sample
2025-02,northstar,ga,8.1,budget,sample
2025-03,northstar,cogs,12.4,actual,sample
2025-03,northstar,sm,18.8,actual,sample
2025-03,northstar,rd,29.0,actual,sample
2025-03,northstar,ga,8.2,actual,sample
2025-03,northstar,cogs,12.3,budget,sample
2025-03,northstar,sm,17.6,budget,sample
2025-03,northstar,rd,27.8,budget,sample
2025-03,northstar,ga,8.2,budget,sample
2025-04,northstar,cogs,12.6,actual,sample
2025-04,northstar,sm,19.2,actual,sample
2025-04,northstar,rd,29.5,actual,sample
2025-04,northstar,ga,8.3,actual,sample
2025-04,northstar,cogs,12.4,budget,sample
2025-04,northstar,sm,17.9,budget,sample
2025-04,northstar,rd,28.2,budget,sample
2025-04,northstar,ga,8.3,budget,sample
2025-05,northstar,cogs,12.8,actual,sample
2025-05,northstar,sm,19.6,actual,sample
2025-05,northstar,rd,30.0,actual,sample
2025-05,northstar,ga,8.4,actual,sample
2025-05,northstar,cogs,12.6,budget,sample
2025-05,northstar,sm,18.2,budget,sample
2025-05,northstar,rd,28.6,budget,sample
2025-05,northstar,ga,8.4,budget,sample
2025-06,northstar,cogs,13.0,actual,sample
2025-06,northstar,sm,20.0,actual,sample
2025-06,northstar,rd,30.5,actual,sample
2025-06,northstar,ga,8.5,actual,sample
2025-06,northstar,cogs,12.8,budget,sample
2025-06,northstar,sm,18.5,budget,sample
2025-06,northstar,rd,29.0,budget,sample
2025-06,northstar,ga,8.5,budget,sample
2025-07,northstar,cogs,13.2,actual,sample
2025-07,northstar,sm,20.4,actual,sample
2025-07,northstar,rd,31.0,actual,sample
2025-07,northstar,ga,8.6,actual,sample
2025-07,northstar,cogs,12.9,budget,sample
2025-07,northstar,sm,18.8,budget,sample
2025-07,northstar,rd,29.4,budget,sample
2025-07,northstar,ga,8.6,budget,sample
2025-08,northstar,cogs,13.4,actual,sample
2025-08,northstar,sm,20.8,actual,sample
2025-08,northstar,rd,31.5,actual,sample
2025-08,northstar,ga,8.7,actual,sample
2025-08,northstar,cogs,13.1,budget,sample
2025-08,northstar,sm,19.1,budget,sample
2025-08,northstar,rd,29.8,budget,sample
2025-08,northstar,ga,8.7,budget,sample
2025-09,northstar,cogs,13.6,actual,sample
2025-09,northstar,sm,21.2,actual,sample
2025-09,northstar,rd,32.0,actual,sample
2025-09,northstar,ga,8.8,actual,sample
2025-09,northstar,cogs,13.2,budget,sample
2025-09,northstar,sm,19.4,budget,sample
2025-09,northstar,rd,30.2,budget,sample
2025-09,northstar,ga,8.8,budget,sample
2025-10,northstar,cogs,13.8,actual,sample
2025-10,northstar,sm,21.6,actual,sample
2025-10,northstar,rd,32.5,actual,sample
2025-10,northstar,ga,8.9,actual,sample
2025-10,northstar,cogs,13.3,budget,sample
2025-10,northstar,sm,19.7,budget,sample
2025-10,northstar,rd,30.6,budget,sample
2025-10,northstar,ga,8.9,budget,sample
2025-11,northstar,cogs,14.0,actual,sample
2025-11,northstar,sm,22.0,actual,sample
2025-11,northstar,rd,33.0,actual,sample
2025-11,northstar,ga,9.0,actual,sample
2025-11,northstar,cogs,13.5,budget,sample
2025-11,northstar,sm,20.0,budget,sample
2025-11,northstar,rd,31.0,budget,sample
2025-11,northstar,ga,9.0,budget,sample
2025-12,northstar,cogs,14.2,actual,sample
2025-12,northstar,sm,22.4,actual,sample
2025-12,northstar,rd,33.5,actual,sample
2025-12,northstar,ga,9.1,actual,sample
2025-12,northstar,cogs,13.7,budget,sample
2025-12,northstar,sm,20.3,budget,sample
2025-12,northstar,rd,31.4,budget,sample
2025-12,northstar,ga,9.1,budget,sample
