period,entity,function,account,amount,currency,scenario,source
2025-01,northstar,other,subscription,756000.00,USD,actual,sample
2025-01,northstar,other,subscription,771120.00,USD,budget,sample
2025-01,northstar,cogs,hosting,60480.00,USD,actual,sample
2025-01,northstar,cogs,hosting,61689.60,USD,budget,sample
2025-01,northstar,cogs,payment_processing,18900.00,USD,actual,sample
2025-01,northstar,cogs,payment_processing,19278.00,USD,budget,sample
2025-01,northstar,cogs,cs_delivery,52920.00,USD,actual,sample
2025-01,northstar,cogs,cs_delivery,53978.40,USD,budget,sample
2025-01,northstar,sm,paid_ads,166320.00,USD,actual,sample
2025-01,northstar,sm,paid_ads,169646.40,USD,budget,sample
2025-01,northstar,sm,sales_payroll,180000.00,USD,actual,sample
2025-01,northstar,sm,sales_payroll,183600.00,USD,budget,sample
2025-01,northstar,rd,eng_payroll,240000.00,USD,actual,sample
2025-01,northstar,rd,eng_payroll,244800.00,USD,budget,sample
2025-01,northstar,ga,finance_payroll,95000.00,USD,actual,sample
2025-01,northstar,ga,finance_payroll,96900.00,USD,budget,sample
2025-01,northstar,ga,gna_other,28000.00,USD,actual,sample
2025-01,northstar,ga,gna_other,28560.00,USD,budget,sample
2025-02,northstar,other,subscription,793800.00,USD,actual,sample
2025-02,northstar,other,subscription,809676.00,USD,budget,sample
2025-02,northstar,cogs,hosting,63504.00,USD,actual,sample
2025-02,northstar,cogs,hosting,64774.08,USD,budget,sample
2025-02,northstar,cogs,payment_processing,19845.00,USD,actual,sample
2025-02,northstar,cogs,payment_processing,20241.90,USD,budget,sample
2025-02,northstar,cogs,cs_delivery,55566.00,USD,actual,sample
2025-02,northstar,cogs,cs_delivery,56677.32,USD,budget,sample
2025-02,northstar,sm,paid_ads,174636.00,USD,actual,sample
2025-02,northstar,sm,paid_ads,178128.72,USD,budget,sample
2025-02,northstar,sm,sales_payroll,184000.00,USD,actual,sample
2025-02,northstar,sm,sales_payroll,187680.00,USD,budget,sample
2025-02,northstar,rd,eng_payroll,245000.00,USD,actual,sample
2025-02,northstar,rd,eng_payroll,249900.00,USD,budget,sample
2025-02,northstar,ga,finance_payroll,96500.00,USD,actual,sample
2025-02,northstar,ga,finance_payroll,98430.00,USD,budget,sample
2025-02,northstar,ga,gna_other,28000.00,USD,actual,sample
2025-02,northstar,ga,gna_other,28560.00,USD,budget,sample
2025-03,northstar,other,subscription,833490.00,USD,actual,sample
2025-03,northstar,other,subscription,850159.80,USD,budget,sample
2025-03,northstar,cogs,hosting,66679.20,USD,actual,sample
2025-03,northstar,cogs,hosting,68012.78,USD,budget,sample
2025-03,northstar,cogs,payment_processing,20837.25,USD,actual,sample
